"","company","tickers","SEC.filings","GICS.Sector","GICS.Sub.Industry","Address","Date.first.added","CIK","Founded"
"1","MMM","3M Company","reports","Industrials","Industrial Conglomerates","St. Paul, Minnesota","",66740,"1902"
"2","ABT","Abbott Laboratories","reports","Health Care","Health Care Equipment","North Chicago, Illinois","1964-03-31",1800,"1888"
"3","ABBV","AbbVie Inc.","reports","Health Care","Pharmaceuticals","North Chicago, Illinois","2012-12-31",1551152,"2013 (1888)"
"4","ABMD","ABIOMED Inc","reports","Health Care","Health Care Equipment","Danvers, Massachusetts","2018-05-31",815094,"1981"
"5","ACN","Accenture plc","reports","Information Technology","IT Consulting & Other Services","Dublin, Ireland","2011-07-06",1467373,"1989"
"6","ATVI","Activision Blizzard","reports","Communication Services","Interactive Home Entertainment","Santa Monica, California","2015-08-31",718877,"2008"
"7","ADBE","Adobe Systems Inc","reports","Information Technology","Application Software","San Jose, California","1997-05-05",796343,"1982"
"8","AMD","Advanced Micro Devices Inc","reports","Information Technology","Semiconductors","Sunnyvale, California","2017-03-20",2488,"1969"
"9","AAP","Advance Auto Parts","reports","Consumer Discretionary","Automotive Retail","Raleigh, North Carolina","2015-07-09",1158449,"1932"
"10","AES","AES Corp","reports","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","1998-10-02",874761,"1981"
"11","AMG","Affiliated Managers Group Inc","reports","Financials","Asset Management & Custody Banks","West Palm Beach, Florida","2014-07-01",1004434,"1993"
"12","AFL","AFLAC Inc","reports","Financials","Life & Health Insurance","Columbus, Georgia","1999-05-28",4977,"1955"
"13","A","Agilent Technologies Inc","reports","Health Care","Health Care Equipment","Santa Clara, California","2000-06-05",1090872,"1999"
"14","APD","Air Products & Chemicals Inc","reports","Materials","Industrial Gases","Allentown, Pennsylvania","1985-04-30",2969,"1940"
"15","AKAM","Akamai Technologies Inc","reports","Information Technology","Internet Services & Infrastructure","Cambridge, Massachusetts","2007-07-12",1086222,"1998"
"16","ALK","Alaska Air Group Inc","reports","Industrials","Airlines","Seattle, Washington","2016-05-13",766421,"1985"
"17","ALB","Albemarle Corp","reports","Materials","Specialty Chemicals","Charlotte, North Carolina","2016-07-01",915913,"1994"
"18","ARE","Alexandria Real Estate Equities","reports","Real Estate","Office REITs","Pasadena, California","2017-03-20",1035443,"1994"
"19","ALXN","Alexion Pharmaceuticals","reports","Health Care","Biotechnology","Boston, Massachusetts","2012-05-25",899866,"1992"
"20","ALGN","Align Technology","reports","Health Care","Health Care Supplies","San Jose, California","2017-06-19",1097149,"1997"
"21","ALLE","Allegion","reports","Industrials","Building Products","Dublin, Ireland","2013-12-02",1579241,"1908"
"22","AGN","Allergan, Plc","reports","Health Care","Pharmaceuticals","Dublin, Ireland","1999-04-12",1578845,"1983"
"23","ADS","Alliance Data Systems","reports","Information Technology","Data Processing & Outsourced Services","Plano, Texas","2013-12-23",1101215,"1996"
"24","LNT","Alliant Energy Corp","reports","Utilities","Electric Utilities","Madison, Wisconsin","2016-07-01",352541,"1917"
"25","ALL","Allstate Corp","reports","Financials","Property & Casualty Insurance","Northfield Township, Illinois","1995-07-13",899051,"1931"
"26","GOOGL","Alphabet Inc Class A","reports","Communication Services","Interactive Media & Services","Mountain View, California","2014-04-03",1652044,"1998"
"27","GOOG","Alphabet Inc Class C","reports","Communication Services","Interactive Media & Services","Mountain View, California","2006-04-03",1652044,"1998"
"28","MO","Altria Group Inc","reports","Consumer Staples","Tobacco","Richmond, Virginia","",764180,"1985"
"29","AMZN","Amazon.com Inc.","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","2005-11-18",1018724,"1994"
"30","AMCR","Amcor plc","reports","Materials","Paper Packaging","Warmley, Bristol, United Kingdom","2019-06-07",1748790,""
"31","AEE","Ameren Corp","reports","Utilities","Multi-Utilities","St. Louis, Missouri","1991-09-19",1002910,"1902"
"32","AAL","American Airlines Group","reports","Industrials","Airlines","Fort Worth, Texas","2015-03-23",6201,"1934"
"33","AEP","American Electric Power","reports","Utilities","Electric Utilities","Columbus, Ohio","",4904,"1906"
"34","AXP","American Express Co","reports","Financials","Consumer Finance","New York, New York","1976-06-30",4962,"1850"
